word,key_A,key_B,key_C,key_D,key_E,key_F,key_G,key_H,key_I,key_J,key_K,key_L,key_M,key_N,key_O,key_P,key_Q,key_R,key_S,key_T,key_U,key_V,key_W,key_X,key_Y,key_Z,key_SPACE
AAHS,AAHS,BBIT,CCJU,DDKV,EELW,FFMX,GGNY,HHOZ,IIP ,JJQA,KKRB,LLSC,MMTD,NNUE,OOVF,PPWG,QQXH,RRYI,SSZJ,TT K,UUAL,VVBM,WWCN,XXDO,YYEP,ZZFQ,  GR
AALS,AALS,BBMT,CCNU,DDOV,EEPW,FFQX,GGRY,HHSZ,IIT ,JJUA,KKVB,LLWC,MMXD,NNYE,OOZF,PP G,QQAH,RRBI,SSCJ,TTDK,UUEL,VVFM,WWGN,XXHO,YYIP,ZZJQ,  KR
AANI,AANI,BBOJ,CCPK,DDQL,EERM,FFSN,GGTO,HHUP,IIVQ,JJWR,KKXS,LLYT,MMZU,NN V,OOAW,PPBX,QQCY,RRDZ,SSE ,TTFA,UUGB,VVHC,WWID,XXJE,YYKF,ZZLG,  MH
AARU,AARU,BBSV,CCTW,DDUX,EEVY,FFWZ,GGX ,HHYA,IIZB,JJ C,KKAD,LLBE,MMCF,NNDG,OOEH,PPFI,QQGJ,RRHK,SSIL,TTJM,UUKN,VVLO,WWMP,XXNQ,YYOR,ZZPS,  QT
ABAC,ABAC,BCBD,CDCE,DEDF,EFEG,FGFH,GHGI,HIHJ,IJIK,JKJL,KLKM,LMLN,MNMO,NONP,OPOQ,PQPR,QRQS,RSRT,STSU,TUTV,UVUW,VWVX,WXWY,XYXZ,YZY ,Z ZA, A B
ABAS,ABAS,BCBT,CDCU,DEDV,EFEW,FGFX,GHGY,HIHZ,IJI ,JKJA,KLKB,LMLC,MNMD,NONE,OPOF,PQPG,QRQH,RSRI,STSJ,TUTK,UVUL,VWVM,WXWN,XYXO,YZYP,Z ZQ, A R
ABAY,ABAY,BCBZ,CDC ,DEDA,EFEB,FGFC,GHGD,HIHE,IJIF,JKJG,KLKH,LMLI,MNMJ,NONK,OPOL,PQPM,QRQN,RSRO,STSP,TUTQ,UVUR,VWVS,WXWT,XYXU,YZYV,Z ZW, A X
ABBA,ABBA,BCCB,CDDC,DEED,EFFE,FGGF,GHHG,HIIH,IJJI,JKKJ,KLLK,LMML,MNNM,NOON,OPPO,PQQP,QRRQ,RSSR,STTS,TUUT,UVVU,VWWV,WXXW,XYYX,YZZY,Z  Z, AA 
ABBE,ABBE,BCCF,CDDG,DEEH,EFFI,FGGJ,GHHK,HIIL,IJJM,JKKN,KLLO,LMMP,MNNQ,NOOR,OPPS,PQQT,QRRU,RSSV,STTW,TUUX,UVVY,VWWZ,WXX ,XYYA,YZZB,Z  C, AAD
ABBR,ABBR,BCCS,CDDT,DEEU,EFFV,FGGW,GHHX,HIIY,IJJZ,JKK ,KLLA,LMMB,MNNC,NOOD,OPPE,PQQF,QRRG,RSSH,STTI,TUUJ,UVVK,VWWL,WXXM,XYYN,YZZO,Z  P, AAQ
