ciphertext,word_count,words
CRO,9,"MAY, THE, RFC, DSP, SGD"
DSP,9,"MAY, THE, RFC, DSP, SGD"
ETQ,9,"MAY, THE, RFC, DSP, SGD"
FUR,9,"MAY, THE, RFC, DSP, SGD"
GVS,9,"MAY, THE, RFC, DSP, SGD"
HWT,9,"MAY, THE, RFC, DSP, SGD"
IXU,9,"MAY, THE, RFC, DSP, SGD"
JYV,9,"MAY, THE, RFC, DSP, SGD"
KZW,9,"MAY, THE, RFC, DSP, SGD"
L X,9,"MAY, THE, RFC, DSP, SGD"
MAY,9,"MAY, THE, RFC, DSP, SGD"
NBZ,9,"MAY, THE, RFC, DSP, SGD"
OC ,9,"MAY, THE, RFC, DSP, SGD"
PDA,9,"MAY, THE, RFC, DSP, SGD"
QEB,9,"MAY, THE, RFC, DSP, SGD"
RFC,9,"MAY, THE, RFC, DSP, SGD"
SGD,9,"MAY, THE, RFC, DSP, SGD"
THE,9,"MAY, THE, RFC, DSP, SGD"
UIF,9,"MAY, THE, RFC, DSP, SGD"
VJG,9,"MAY, THE, RFC, DSP, SGD"
WKH,9,"MAY, THE, RFC, DSP, SGD"
XLI,9,"MAY, THE, RFC, DSP, SGD"
YMJ,9,"MAY, THE, RFC, DSP, SGD"
ZNK,9,"MAY, THE, RFC, DSP, SGD"
 OL,9,"MAY, THE, RFC, DSP, SGD"
APM,9,"MAY, THE, RFC, DSP, SGD"
BQN,9,"MAY, THE, RFC, DSP, SGD"
AOR,8,"OBE, HVY, AOR, NAD, PCF"
BPS,8,"OBE, HVY, AOR, NAD, PCF"
CQT,8,"OBE, HVY, AOR, NAD, PCF"
DRU,8,"OBE, HVY, AOR, NAD, PCF"
ESV,8,"OBE, HVY, AOR, NAD, PCF"
FTW,8,"OBE, HVY, AOR, NAD, PCF"
GUX,8,"OBE, HVY, AOR, NAD, PCF"
HVY,8,"OBE, HVY, AOR, NAD, PCF"
IWZ,8,"OBE, HVY, AOR, NAD, PCF"
JX ,8,"OBE, HVY, AOR, NAD, PCF"
KYA,8,"OBE, HVY, AOR, NAD, PCF"
LZB,8,"OBE, HVY, AOR, NAD, PCF"
M C,8,"OBE, HVY, AOR, NAD, PCF"
NAD,8,"OBE, HVY, AOR, NAD, PCF"
OBE,8,"OBE, HVY, AOR, NAD, PCF"
PCF,8,"OBE, HVY, AOR, NAD, PCF"
QDG,8,"OBE, HVY, AOR, NAD, PCF"
REH,8,"OBE, HVY, AOR, NAD, PCF"
SFI,8,"OBE, HVY, AOR, NAD, PCF"
TGJ,8,"OBE, HVY, AOR, NAD, PCF"
UHK,8,"OBE, HVY, AOR, NAD, PCF"
VIL,8,"OBE, HVY, AOR, NAD, PCF"
WJM,8,"OBE, HVY, AOR, NAD, PCF"
