ciphertext,word_count,words
CHEER,3,"DIFFS, JOLLY, CHEER"
DIFFS,3,"DIFFS, JOLLY, CHEER"
EJGGT,3,"DIFFS, JOLLY, CHEER"
FKHHU,3,"DIFFS, JOLLY, CHEER"
GLIIV,3,"DIFFS, JOLLY, CHEER"
HMJJW,3,"DIFFS, JOLLY, CHEER"
INKKX,3,"DIFFS, JOLLY, CHEER"
JOLLY,3,"DIFFS, JOLLY, CHEER"
KPMMZ,3,"DIFFS, JOLLY, CHEER"
LQNN ,3,"DIFFS, JOLLY, CHEER"
MROOA,3,"DIFFS, JOLLY, CHEER"
NSPPB,3,"DIFFS, JOLLY, CHEER"
OTQQC,3,"DIFFS, JOLLY, CHEER"
PURRD,3,"DIFFS, JOLLY, CHEER"
QVSSE,3,"DIFFS, JOLLY, CHEER"
RWTTF,3,"DIFFS, JOLLY, CHEER"
SXUUG,3,"DIFFS, JOLLY, CHEER"
TYVVH,3,"DIFFS, JOLLY, CHEER"
UZWWI,3,"DIFFS, JOLLY, CHEER"
V XXJ,3,"DIFFS, JOLLY, CHEER"
WAYYK,3,"DIFFS, JOLLY, CHEER"
XBZZL,3,"DIFFS, JOLLY, CHEER"
YC  M,3,"DIFFS, JOLLY, CHEER"
ZDAAN,3,"DIFFS, JOLLY, CHEER"
 EBBO,3,"DIFFS, JOLLY, CHEER"
AFCCP,3,"DIFFS, JOLLY, CHEER"
BGDDQ,3,"DIFFS, JOLLY, CHEER"
ABASH,2,"UVULA, ABASH"
BCBTI,2,"UVULA, ABASH"
CDCUJ,2,"UVULA, ABASH"
DEDVK,2,"UVULA, ABASH"
EFEWL,2,"UVULA, ABASH"
FGFXM,2,"UVULA, ABASH"
GHGYN,2,"UVULA, ABASH"
HIHZO,2,"UVULA, ABASH"
IJI P,2,"UVULA, ABASH"
JKJAQ,2,"UVULA, ABASH"
KLKBR,2,"UVULA, ABASH"
LMLCS,2,"UVULA, ABASH"
MNMDT,2,"UVULA, ABASH"
NONEU,2,"UVULA, ABASH"
OPOFV,2,"UVULA, ABASH"
PQPGW,2,"UVULA, ABASH"
QRQHX,2,"UVULA, ABASH"
RSRIY,2,"UVULA, ABASH"
STSJZ,2,"UVULA, ABASH"
TUTK ,2,"UVULA, ABASH"
UVULA,2,"UVULA, ABASH"
VWVMB,2,"UVULA, ABASH"
WXWNC,2,"UVULA, ABASH"
