ciphertext,word_count,words
FURZERY,2,"FURZERY, THEMSEL"
GVS FSZ,2,"FURZERY, THEMSEL"
HWTAGT ,2,"FURZERY, THEMSEL"
IXUBHUA,2,"FURZERY, THEMSEL"
JYVCIVB,2,"FURZERY, THEMSEL"
KZWDJWC,2,"FURZERY, THEMSEL"
L XEKXD,2,"FURZERY, THEMSEL"
MAYFLYE,2,"FURZERY, THEMSEL"
NBZGMZF,2,"FURZERY, THEMSEL"
OC HN G,2,"FURZERY, THEMSEL"
PDAIOAH,2,"FURZERY, THEMSEL"
QEBJPBI,2,"FURZERY, THEMSEL"
RFCKQCJ,2,"FURZERY, THEMSEL"
SGDLRDK,2,"FURZERY, THEMSEL"
THEMSEL,2,"FURZERY, THEMSEL"
UIFNTFM,2,"FURZERY, THEMSEL"
VJGOUGN,2,"FURZERY, THEMSEL"
WKHPVHO,2,"FURZERY, THEMSEL"
XLIQWIP,2,"FURZERY, THEMSEL"
YMJRXJQ,2,"FURZERY, THEMSEL"
ZNKSYKR,2,"FURZERY, THEMSEL"
 OLTZLS,2,"FURZERY, THEMSEL"
APMU MT,2,"FURZERY, THEMSEL"
BQNVANU,2,"FURZERY, THEMSEL"
CROWBOV,2,"FURZERY, THEMSEL"
DSPXCPW,2,"FURZERY, THEMSEL"
ETQYDQX,2,"FURZERY, THEMSEL"
PRIMERO,2,"SULPHUR, PRIMERO"
QSJNFSP,2,"SULPHUR, PRIMERO"
RTKOGTQ,2,"SULPHUR, PRIMERO"
SULPHUR,2,"SULPHUR, PRIMERO"
TVMQIVS,2,"SULPHUR, PRIMERO"
UWNRJWT,2,"SULPHUR, PRIMERO"
VXOSKXU,2,"SULPHUR, PRIMERO"
WYPTLYV,2,"SULPHUR, PRIMERO"
XZQUMZW,2,"SULPHUR, PRIMERO"
Y RVN X,2,"SULPHUR, PRIMERO"
ZASWOAY,2,"SULPHUR, PRIMERO"
 BTXPBZ,2,"SULPHUR, PRIMERO"
ACUYQC ,2,"SULPHUR, PRIMERO"
BDVZRDA,2,"SULPHUR, PRIMERO"
CEW SEB,2,"SULPHUR, PRIMERO"
DFXATFC,2,"SULPHUR, PRIMERO"
EGYBUGD,2,"SULPHUR, PRIMERO"
FHZCVHE,2,"SULPHUR, PRIMERO"
GI DWIF,2,"SULPHUR, PRIMERO"
HJAEXJG,2,"SULPHUR, PRIMERO"
IKBFYKH,2,"SULPHUR, PRIMERO"
JLCGZLI,2,"SULPHUR, PRIMERO"
KMDH MJ,2,"SULPHUR, PRIMERO"
